year,subject,prior_band,n_students
2022,Portuguese,5-<6,44
2022,Portuguese,6-<7,34
2022,Portuguese,7-<8,29
2022,Portuguese,8-<9,12
2022,Portuguese,Unknown prior,10
2022,Portuguese,All,169
2022,Spanish,2-<3,4
2022,Spanish,3-<4,53
2022,Spanish,4-<5,348
2022,Spanish,5-<6,1123
2022,Spanish,6-<7,1869
2022,Spanish,7-<8,2292
2022,Spanish,8-<9,2004
2022,Spanish,9>=,282
2022,Spanish,Unknown prior,240
2022,Spanish,All,8215
2022,Arabic,1-<2,1
2022,Arabic,2-<3,3
2022,Arabic,3-<4,15
2022,Arabic,4-<5,54
2022,Arabic,5-<6,56
2022,Arabic,6-<7,57
2022,Arabic,7-<8,44
2022,Arabic,8-<9,21
2022,Arabic,9>=,4
2022,Arabic,Unknown prior,14
2022,Arabic,All,269
2022,Chinese,<1,1
2022,Chinese,1-<2,1
2022,Chinese,2-<3,4
2022,Chinese,3-<4,8
2022,Chinese,4-<5,44
2022,Chinese,5-<6,61
2022,Chinese,6-<7,93
2022,Chinese,7-<8,95
2022,Chinese,8-<9,34
2022,Chinese,9>=,9
2022,Chinese,Unknown prior,294
2022,Chinese,All,644
2022,Japanese,3-<4,2
2022,Japanese,4-<5,2
2022,Japanese,5-<6,4
2022,Japanese,6-<7,16
2022,Japanese,7-<8,12
2022,Japanese,8-<9,13
2022,Japanese,9>=,4
2022,Japanese,Unknown prior,17
2022,Japanese,All,70
2022,Modern Hebrew,4-<5,1
2022,Modern Hebrew,5-<6,4
2022,Modern Hebrew,6-<7,6
2022,Modern Hebrew,7-<8,3
2022,Modern Hebrew,8-<9,4
2022,Modern Hebrew,All,18
2022,Punjabi,3-<4,2
2022,Punjabi,4-<5,13
2022,Punjabi,5-<6,17
2022,Punjabi,6-<7,11
2022,Punjabi,7-<8,9
2022,Punjabi,8-<9,1
2022,Punjabi,All,53
2022,Polish,3-<4,7
2022,Polish,4-<5,40
2022,Polish,5-<6,76
2022,Polish,6-<7,80
2022,Polish,7-<8,36
2022,Polish,8-<9,18
2022,Polish,Unknown prior,18
2022,Polish,All,275
2022,Russian,2-<3,2
2022,Russian,3-<4,5
2022,Russian,4-<5,19
2022,Russian,5-<6,45
2022,Russian,6-<7,64
2022,Russian,7-<8,78
2022,Russian,8-<9,76
2022,Russian,9>=,20
2022,Russian,Unknown prior,96
2022,Russian,All,405
2022,Turkish,1-<2,2
2022,Turkish,2-<3,4
2022,Turkish,3-<4,19
2022,Turkish,4-<5,62
2022,Turkish,5-<6,79
2022,Turkish,6-<7,54
2022,Turkish,7-<8,26
2022,Turkish,8-<9,8
2022,Turkish,Unknown prior,12
2022,Turkish,All,266
2022,Urdu,1-<2,1
2022,Urdu,2-<3,1
2022,Urdu,3-<4,3
2022,Urdu,4-<5,22
2022,Urdu,5-<6,24
2022,Urdu,6-<7,18
2022,Urdu,7-<8,15
2022,Urdu,8-<9,2
2022,Urdu,Unknown prior,4
2022,Urdu,All,90
2022,Persian,2-<3,1
2022,Persian,3-<4,3
2022,Persian,4-<5,7
2022,Persian,5-<6,12
2022,Persian,6-<7,8
2022,Persian,7-<8,3
2022,Persian,8-<9,3
2022,Persian,9>=,1
2022,Persian,Unknown prior,12
2022,Persian,All,50
2022,Ancient History,2-<3,1
2022,Ancient History,3-<4,8
2022,Ancient History,4-<5,53
2022,Ancient History,5-<6,162
2022,Ancient History,6-<7,173
2022,Ancient History,7-<8,137
2022,Ancient History,8-<9,88
2022,Ancient History,9>=,19
2022,Ancient History,Unknown prior,6
2022,Ancient History,All,647
2022,Classical Civilisation,1-<2,1
2022,Classical Civilisation,3-<4,28
2022,Classical Civilisation,4-<5,161
2022,Classical Civilisation,5-<6,471
2022,Classical Civilisation,6-<7,675
2022,Classical Civilisation,7-<8,767
2022,Classical Civilisation,8-<9,541
2022,Classical Civilisation,9>=,56
2022,Classical Civilisation,Unknown prior,54
2022,Classical Civilisation,All,2754
2022,Classical Greek,6-<7,5
2022,Classical Greek,7-<8,13
2022,Classical Greek,8-<9,114
2022,Classical Greek,9>=,53
2022,Classical Greek,Unknown prior,2
2022,Classical Greek,All,187
2022,Latin,5-<6,4
2022,Latin,6-<7,45
2022,Latin,7-<8,163
2022,Latin,8-<9,578
